Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
47.2520211,23.4703937,"Romania, City NA",Romania,", ",City NA,2,0,0
59.380471,24.7386434,"Estonia, City NA",Estonia,", ",City NA,2,0,0
41.6086,21.7453,"North Macedonia, City NA",North Macedonia,", ",City NA,1,0,0
24.8667795,67.0311286,"Karachi, Pakistan",Karachi,", ",Pakistan,2,0,0
35.9999972,75.0000023,"Gilgit-Baltistan, Pakistan",Gilgit-Baltistan,", ",Pakistan,1,0,0
33.6938118,73.0651511,"Islamabad, Pakistan",Islamabad,", ",Pakistan,2,0,0
52.1326,5.2913,"Netherlands, City NA",Netherlands,", ",City NA,21,0,0
52.6526693,6.7393189,"Coevorden, Netherlands",Coevorden,", ",Netherlands,1,0,0
51.8421872,4.9746005,"Gorinchem, Netherlands",Gorinchem,", ",Netherlands,1,0,0
51.55847,5.083076,"Tilburg, Netherlands",Tilburg,", ",Netherlands,1,0,0
6.4550575,3.3941795,"Lagos, Nigeria",Lagos,", ",Nigeria,1,0,0
53.1456143,25.9541187,"Belarus, City NA",Belarus,", ",City NA,4,0,0
55.9349,23.3137,"Siauliai, Lithuania",Siauliai,", ",Lithuania,1,0,0
53.2554147,-6.113135,"Ireland, City NA",Ireland,", ",City NA,2,0,0
40.4208844,49.8596358,"Azerbaijan, City NA",Azerbaijan,", ",City NA,3,0,0
43.7384,7.4246,"Monaco, City NA",Monaco,", ",City NA,1,0,0
43.9424,12.4578,"San Marino, City NA",San Marino,", ",City NA,9,1,0
25.0000001,-107.5000001,"Sinaloa, Mexico",Sinaloa,", ",Mexico,1,0,0
19.4326296,-99.1331785,"Mexico City, Mexico",Mexico City,", ",Mexico,3,0,0
16.5000001,-92.5000001,"Chiapas, Mexico",Chiapas,", ",Mexico,1,0,0
-36.852095,174.7631803,"Auckland, New Zealand",Auckland,", ",New Zealand,2,0,0
49.6548078,6.303926,"Luxembourg, City NA",Luxembourg,", ",City NA,1,0,0
-0.7626471,-77.9701878,"Ecuador, City NA",Ecuador,", ",City NA,6,0,0
40.0691,45.0382,"Armenia, City NA",Armenia,", ",City NA,1,0,0
64.9631,-21.862675,"Iceland, City NA",Iceland,", ",City NA,14,0,0
25.3548,51.1839,"Qatar, City NA",Qatar,", ",City NA,8,0,0
18.8206817,-68.5906313,"Dominican Republic, City NA",Dominican Republic,", ",City NA,1,0,0
50.6603327,14.0381357,"Usti nad Labem, Czech Republic",Usti nad Labem,", ",Czech Republic,1,0,0
50.4730578,13.7460559,"Czech Republic, City NA",Czech Republic,", ",City NA,2,0,0
50.0874654,14.4212535,"Prague, Czech Republic",Prague,", ",Czech Republic,2,0,0
3.3791649,98.527527,"Indonesia, City NA",Indonesia,", ",City NA,2,0,0
42.5063,1.5218,"Andorra, City NA",Andorra,", ",City NA,1,0,0
56.9948734,24.0710427,"Latvia , City NA",Latvia ,", ",City NA,1,0,0
